case:concept:name,concept:name,time:timestamp
Case 1093,Resolve ticket,2012-01-13 16:34:53
Case 1745,Take in charge ticket,2011-12-15 16:54:48
Case 1745,Resolve ticket,2011-12-15 17:04:19
Case 462,Assign seriousness,2012-05-15 08:39:10
Case 462,Take in charge ticket,2012-05-15 08:39:18
Case 462,Require upgrade,2012-05-15 15:46:35
Case 462,Resolve ticket,2012-06-01 12:07:34
Case 1767,Assign seriousness,2011-02-25 08:59:36
Case 1767,Take in charge ticket,2011-03-01 15:41:56
Case 1767,Resolve ticket,2011-03-01 15:42:02
Case 2115,Assign seriousness,2010-12-29 08:23:43
Case 2115,Take in charge ticket,2011-01-31 10:57:06
Case 2115,Resolve ticket,2011-02-04 10:49:44
Case 927,Assign seriousness,2011-10-10 07:25:12
Case 927,Take in charge ticket,2011-10-10 07:32:43
Case 927,Resolve ticket,2011-10-10 07:52:25
Case 551,Assign seriousness,2012-07-18 10:53:53
Case 551,Take in charge ticket,2012-07-18 15:54:24
Case 551,Wait,2012-07-25 07:59:53
Case 551,Resolve ticket,2012-08-02 16:07:16
Case 1772,Assign seriousness,2012-11-26 13:51:44
Case 1772,Take in charge ticket,2012-11-29 16:25:52
Case 1772,Wait,2012-11-30 14:50:50
Case 1772,Resolve ticket,2012-12-17 09:09:54
Case 764,Assign seriousness,2011-11-24 10:09:21
Case 764,Take in charge ticket,2011-11-24 14:20:25
Case 764,Resolve ticket,2011-11-24 14:23:50
Case 2318,Assign seriousness,2012-06-18 12:37:57
Case 2318,Take in charge ticket,2012-06-20 07:10:58
Case 2318,Wait,2012-06-25 12:56:24
Case 2318,Wait,2012-07-03 13:54:41
Case 2318,Wait,2012-07-03 13:54:42
Case 2318,Resolve ticket,2012-07-03 14:03:04
Case 357,Assign seriousness,2012-07-11 14:50:14
Case 357,Take in charge ticket,2012-07-12 06:59:23
Case 357,Resolve ticket,2012-07-12 07:07:56
Case 2464,Insert ticket,2010-08-02 16:27:30
Case 2464,Assign seriousness,2010-08-03 10:36:31
Case 2464,Take in charge ticket,2010-08-03 10:36:49
Case 2464,Resolve ticket,2010-08-03 10:38:25
Case 408,Assign seriousness,2013-01-24 13:49:47
Case 408,Assign seriousness,2013-01-28 14:10:24
Case 408,Take in charge ticket,2013-01-30 11:19:15
Case 408,Wait,2013-01-30 11:27:48
Case 408,Resolve ticket,2013-02-25 15:46:08
Case 628,Assign seriousness,2011-01-26 09:10:07
Case 628,Take in charge ticket,2011-01-27 09:10:56
Case 628,Wait,2011-02-16 14:45:12
Case 628,Take in charge ticket,2011-02-18 09:09:12
Case 628,Resolve ticket,2011-02-18 09:14:21
Case 2469,Assign seriousness,2011-11-07 08:21:25
Case 2469,Take in charge ticket,2011-11-07 08:40:19
Case 2469,Resolve ticket,2011-11-10 11:26:36
Case 1586,Assign seriousness,2011-10-27 15:42:18
Case 1586,Take in charge ticket,2011-10-31 11:26:25
Case 1586,Resolve ticket,2011-11-08 16:51:00
Case 604,Assign seriousness,2011-10-17 13:39:19
Case 604,Resolve ticket,2011-10-18 07:27:07
Case 2061,Assign seriousness,2012-07-16 08:04:52
Case 2061,Take in charge ticket,2012-07-16 08:05:02
Case 2061,Resolve ticket,2012-07-17 08:52:44
Case 2174,Assign seriousness,2012-05-04 10:53:10
Case 2174,Take in charge ticket,2012-05-07 08:25:55
Case 2174,Resolve ticket,2012-05-11 11:01:40
Case 2697,Assign seriousness,2012-03-01 16:21:45
Case 2697,Take in charge ticket,2012-03-06 15:41:44
Case 2697,Resolve ticket,2012-03-07 09:14:00
Case 1930,Assign seriousness,2010-07-14 13:00:15
Case 1930,Take in charge ticket,2010-07-14 13:09:56
Case 1930,Resolve ticket,2010-07-14 13:10:33
Case 1203,Assign seriousness,2011-09-08 13:30:42
Case 1203,Take in charge ticket,2011-10-03 10:32:48
Case 1203,Resolve ticket,2011-10-03 10:39:13
Case 1068,Assign seriousness,2012-05-15 08:49:37
Case 1068,Take in charge ticket,2012-05-18 12:33:18
Case 1068,Resolve ticket,2012-05-21 13:18:53
Case 897,Assign seriousness,2012-03-16 13:08:31
Case 897,Take in charge ticket,2012-03-16 13:08:41
Case 897,Resolve ticket,2012-03-16 13:43:24
Case 1669,Assign seriousness,2011-11-04 09:55:52
Case 1669,Take in charge ticket,2011-11-04 09:56:06
Case 1669,Resolve ticket,2011-11-07 10:33:29
Case 1109,Assign seriousness,2013-04-19 14:15:35
Case 1109,Take in charge ticket,2013-04-26 10:01:22
Case 1109,Wait,2013-04-29 10:35:28
Case 1109,Resolve ticket,2013-05-06 07:34:25
Case 2484,Assign seriousness,2012-07-11 15:41:44
Case 2484,Take in charge ticket,2012-07-11 15:41:52
Case 2484,Resolve ticket,2012-07-18 14:00:13
Case 1504,Assign seriousness,2011-01-14 09:39:50
Case 1504,Take in charge ticket,2011-01-20 12:04:43
Case 1504,Resolve ticket,2011-02-03 14:41:13
Case 1986,Assign seriousness,2011-02-15 11:45:09
Case 1986,Take in charge ticket,2011-02-15 11:59:24
Case 1986,Resolve ticket,2011-02-28 09:39:53
Case 1962,Assign seriousness,2012-07-18 15:14:55
Case 1962,Take in charge ticket,2012-07-19 06:48:08
Case 1962,Resolve ticket,2012-07-19 07:13:07
Case 2031,Assign seriousness,2011-09-14 07:53:47
Case 2031,Take in charge ticket,2011-09-21 07:10:54
Case 2031,Resolve ticket,2011-10-06 08:25:52
Case 774,Assign seriousness,2010-10-14 08:35:49
Case 774,Assign seriousness,2010-10-14 08:36:10
Case 774,Take in charge ticket,2010-10-14 08:36:18
Case 774,Resolve ticket,2010-10-15 06:54:51
Case 2852,Assign seriousness,2011-12-27 16:58:57
Case 2852,Resolve ticket,2011-12-29 16:13:14
Case 1094,Assign seriousness,2012-06-13 07:45:34
Case 1094,Take in charge ticket,2012-06-13 10:27:30
Case 1094,Resolve ticket,2012-06-18 14:50:52
Case 2930,Assign seriousness,2012-05-28 07:05:35
Case 2930,Take in charge ticket,2012-05-29 10:31:45
Case 2930,Resolve ticket,2012-05-30 09:43:35
Case 2971,Assign seriousness,2013-02-01 13:41:12
Case 2971,Take in charge ticket,2013-02-01 15:10:20
Case 2971,Resolve ticket,2013-02-21 14:51:53
Case 438,Assign seriousness,2013-11-28 16:25:45
Case 438,Take in charge ticket,2013-12-02 08:56:40
Case 438,Require upgrade,2013-12-16 16:08:31
Case 438,Wait,2013-12-17 10:58:27
Case 438,Resolve ticket,2013-12-17 14:58:10
Case 2668,Assign seriousness,2013-01-14 14:27:26
Case 2668,Assign seriousness,2013-01-14 14:28:01
Case 2668,Take in charge ticket,2013-01-30 13:22:46
Case 2668,Require upgrade,2013-01-30 13:26:42
Case 2668,Resolve ticket,2013-02-13 08:58:53
Case 327,Assign seriousness,2010-04-12 09:39:32
Case 327,Take in charge ticket,2010-04-29 14:33:17
Case 327,Resolve ticket,2010-04-29 14:33:23
Case 210,Assign seriousness,2013-06-11 12:42:37
Case 210,Take in charge ticket,2013-06-14 13:30:28
Case 210,Wait,2013-06-20 09:25:14
Case 210,Resolve ticket,2013-07-05 14:29:45
Case 351,Assign seriousness,2010-03-29 10:12:13
Case 351,Take in charge ticket,2010-04-01 14:17:35
Case 351,Resolve ticket,2010-04-01 14:17:42
Case 2216,Assign seriousness,2011-11-25 15:20:40
Case 2216,Take in charge ticket,2011-12-01 08:34:50
Case 2216,Wait,2011-12-09 11:54:53
Case 2216,Resolve ticket,2011-12-14 15:51:20
Case 1920,Assign seriousness,2012-07-05 13:33:19
Case 1920,Take in charge ticket,2012-07-05 13:33:28
Case 1920,Resolve ticket,2012-07-06 07:03:00
Case 2564,Assign seriousness,2010-09-03 08:07:04
Case 2564,Take in charge ticket,2010-09-03 08:18:02
Case 2564,Resolve ticket,2010-09-03 08:19:45
Case 1985,Assign seriousness,2010-04-12 07:42:44
Case 1985,Take in charge ticket,2010-04-13 09:55:27
Case 1985,Resolve ticket,2010-04-23 07:37:39
Case 2653,Assign seriousness,2011-09-15 08:54:26
Case 2653,Take in charge ticket,2011-09-21 07:06:43
Case 2653,Resolve ticket,2011-10-07 14:34:18
Case 36,Assign seriousness,2011-06-29 10:06:48
Case 36,Take in charge ticket,2011-06-30 12:58:23
Case 36,Resolve ticket,2011-07-05 07:32:43
Case 155,Assign seriousness,2010-12-14 16:19:51
Case 155,Take in charge ticket,2010-12-17 10:45:21
Case 155,Wait,2010-12-23 15:26:07
Case 155,Take in charge ticket,2011-01-18 11:15:13
Case 155,Resolve ticket,2011-01-18 11:15:29
Case 74,Resolve ticket,2012-02-10 11:42:26
Case 2420,Assign seriousness,2011-09-29 08:48:35
Case 2420,Take in charge ticket,2011-10-11 09:24:28
Case 2420,Resolve ticket,2011-10-11 10:35:44
Case 1804,Assign seriousness,2011-04-14 16:01:20
Case 1804,Take in charge ticket,2011-04-15 07:33:18
Case 1804,Resolve ticket,2011-04-20 15:08:23
Case 2300,Assign seriousness,2012-12-19 16:20:18
Case 2300,Take in charge ticket,2013-01-02 08:44:43
Case 2300,Require upgrade,2013-01-31 15:45:42
Case 2300,Require upgrade,2013-01-31 15:45:43
Case 2300,Create SW anomaly,2013-02-13 13:17:34
Case 2300,Require upgrade,2013-02-13 13:18:03
Case 2554,Assign seriousness,2012-02-02 14:28:02
Case 2554,Take in charge ticket,2012-02-02 14:28:13
Case 2554,Resolve ticket,2012-02-06 14:53:02
Case 2666,Assign seriousness,2013-11-26 16:44:10
Case 2666,Assign seriousness,2013-11-27 10:54:26
Case 2666,Take in charge ticket,2013-12-12 08:09:00
Case 2666,Wait,2013-12-12 08:17:21
Case 2666,Wait,2013-12-12 08:17:22
Case 2666,Resolve ticket,2013-12-18 11:14:28
Case 1128,Assign seriousness,2012-04-11 12:51:59
Case 1128,Take in charge ticket,2012-04-11 12:52:12
Case 1128,Resolve ticket,2012-04-16 09:54:56
Case 1838,Assign seriousness,2011-05-02 07:51:26
Case 1838,Take in charge ticket,2011-05-02 07:51:36
Case 1838,Resolve ticket,2011-05-02 15:23:41
Case 717,Assign seriousness,2012-05-02 13:08:47
Case 717,Take in charge ticket,2012-05-03 07:59:49
Case 717,Resolve ticket,2012-05-03 10:35:42
Case 2341,Assign seriousness,2011-06-07 14:56:36
Case 2341,Take in charge ticket,2011-06-07 14:57:07
Case 2341,Wait,2011-06-09 12:56:08
Case 2341,Wait,2011-06-10 12:30:45
Case 2341,Wait,2011-06-17 15:02:13
Case 2341,Take in charge ticket,2011-07-07 09:18:24
Case 2341,Resolve ticket,2011-07-07 09:19:00
Case 1914,Assign seriousness,2012-02-23 10:43:05
Case 1914,Take in charge ticket,2012-02-23 10:43:15
Case 1914,Resolve ticket,2012-02-23 11:10:58
Case 1373,Assign seriousness,2010-04-09 07:37:43
Case 1373,Assign seriousness,2010-04-14 15:09:55
Case 1373,Take in charge ticket,2010-04-14 15:13:59
Case 1373,Resolve ticket,2010-04-14 15:14:04
Case 367,Assign seriousness,2013-07-03 10:48:07
Case 367,Wait,2013-07-16 16:10:51
Case 367,Wait,2013-07-16 16:10:51
Case 367,Resolve ticket,2013-07-29 07:35:51
Case 2496,Assign seriousness,2011-11-10 09:31:55
Case 2496,Take in charge ticket,2011-11-11 10:01:47
Case 2496,Resolve ticket,2011-11-11 11:47:31
Case 1547,Assign seriousness,2011-02-18 11:09:21
Case 1547,Take in charge ticket,2011-02-18 11:09:48
Case 1547,Resolve ticket,2011-02-18 11:31:27
Case 1511,Assign seriousness,2011-02-22 16:16:45
Case 1511,Take in charge ticket,2011-02-22 16:17:02
Case 1511,Resolve ticket,2011-02-22 16:21:07
Case 409,Assign seriousness,2011-08-29 14:04:10
Case 409,Take in charge ticket,2011-08-30 08:33:47
Case 409,Resolve ticket,2011-08-30 08:59:38
Case 2490,Assign seriousness,2012-10-09 10:16:26
Case 2490,Assign seriousness,2012-10-09 10:17:05
Case 2490,Take in charge ticket,2012-10-25 10:50:08
Case 2490,Wait,2012-11-05 14:33:57
Case 2490,Resolve ticket,2012-11-16 13:45:27
Case 1827,Assign seriousness,2011-06-17 10:37:50
Case 1827,Take in charge ticket,2011-06-17 10:38:04
Case 1827,Resolve ticket,2011-07-04 15:16:02
Case 2850,Assign seriousness,2011-02-04 15:57:48
Case 2850,Take in charge ticket,2011-02-04 16:24:24
Case 2850,Resolve ticket,2011-02-04 16:25:36
Case 1439,Assign seriousness,2012-03-23 11:06:05
Case 1439,Take in charge ticket,2012-03-23 11:06:13
Case 1439,Resolve ticket,2012-03-23 11:11:09
Case 2207,Assign seriousness,2011-02-15 15:52:20
Case 2207,Take in charge ticket,2011-02-15 15:52:41
Case 2207,Wait,2011-02-21 15:34:00
Case 2207,Take in charge ticket,2011-03-02 16:16:06
Case 2207,Resolve ticket,2011-03-02 16:16:13
Case 746,Assign seriousness,2012-01-17 09:46:11
Case 746,Take in charge ticket,2012-01-17 11:39:18
Case 746,Resolve ticket,2012-01-30 16:03:09
Case 614,Assign seriousness,2012-07-11 15:35:34
Case 614,Take in charge ticket,2012-07-12 08:10:08
Case 614,Resolve ticket,2012-07-18 08:23:38
Case 34,Assign seriousness,2013-06-11 13:56:40
Case 34,Take in charge ticket,2013-06-25 10:42:45
Case 34,Wait,2013-06-25 10:43:50
Case 34,Wait,2013-06-26 13:27:04
Case 34,Resolve ticket,2013-07-05 10:18:32
Case 1177,Assign seriousness,2011-12-12 10:23:38
Case 1177,Take in charge ticket,2011-12-12 11:37:24
Case 1177,Resolve ticket,2011-12-13 14:00:43
Case 1773,Assign seriousness,2012-01-18 11:26:59
Case 1773,Take in charge ticket,2012-01-18 11:27:09
Case 1773,Resolve ticket,2012-01-19 13:21:00
Case 1863,Assign seriousness,2010-10-26 08:21:52
Case 1863,Take in charge ticket,2010-10-26 08:27:12
Case 1863,Resolve ticket,2010-10-26 08:27:22
Case 1591,Assign seriousness,2012-05-15 08:12:50
Case 1591,Take in charge ticket,2012-05-15 08:13:09
Case 1591,Resolve ticket,2012-05-15 09:50:17
Case 1236,Assign seriousness,2012-01-20 11:58:38
Case 1236,Take in charge ticket,2012-01-27 09:24:34
Case 1236,Wait,2012-02-10 16:27:16
Case 1236,Resolve ticket,2012-02-28 15:51:07
Case 1674,Assign seriousness,2013-08-23 09:37:36
Case 1674,Take in charge ticket,2013-09-06 14:51:22
Case 1674,Wait,2013-09-10 07:11:01
Case 1674,Resolve ticket,2013-09-10 08:17:03
Case 2076,Assign seriousness,2011-10-07 09:36:51
Case 2076,Take in charge ticket,2011-10-07 09:55:13
Case 2076,Resolve ticket,2011-10-07 10:40:00
Case 230,Assign seriousness,2013-09-05 12:44:56
Case 230,Assign seriousness,2013-09-05 12:45:51
Case 230,Take in charge ticket,2013-09-05 12:48:44
Case 230,Wait,2013-09-09 15:56:08
Case 230,Resolve ticket,2013-09-27 13:20:43
Case 261,Assign seriousness,2012-07-30 10:55:26
Case 261,Take in charge ticket,2012-07-30 10:55:48
Case 261,Resolve ticket,2012-07-30 13:14:37
Case 2208,Assign seriousness,2010-05-20 10:00:50
Case 2208,Take in charge ticket,2010-05-20 10:26:34
Case 2208,Resolve ticket,2010-06-14 15:27:19
Case 1355,Assign seriousness,2012-01-26 13:16:11
Case 1355,Take in charge ticket,2012-01-26 13:20:09
Case 1355,Resolve ticket,2012-01-27 15:27:23
Case 664,Assign seriousness,2013-06-10 11:01:41
Case 664,Take in charge ticket,2013-06-25 12:58:50
Case 664,Wait,2013-06-28 07:09:55
Case 664,Resolve ticket,2013-07-19 12:59:45
Case 1753,Assign seriousness,2012-03-22 16:35:07
Case 1753,Take in charge ticket,2012-03-23 08:04:26
Case 1753,Resolve ticket,2012-03-23 16:11:58
Case 1143,Assign seriousness,2012-07-23 11:01:18
Case 1143,Take in charge ticket,2012-07-23 15:01:05
Case 1143,Resolve ticket,2012-07-25 08:28:00
Case 1581,Assign seriousness,2010-09-30 15:19:26
Case 1581,Take in charge ticket,2010-09-30 15:49:54
Case 1581,Resolve ticket,2010-10-01 08:33:04
Case 762,Assign seriousness,2011-11-10 16:56:38
Case 762,Take in charge ticket,2011-11-11 11:07:07
Case 762,Resolve ticket,2011-11-16 09:25:50
Case 2657,Assign seriousness,2011-05-11 13:19:23
Case 2657,Take in charge ticket,2011-05-18 14:41:42
Case 2657,Resolve ticket,2011-05-18 16:03:06
Case 255,Assign seriousness,2012-03-06 08:24:19
Case 255,Take in charge ticket,2012-03-06 13:39:56
Case 255,Resolve ticket,2012-03-06 14:07:30
Case 2881,Assign seriousness,2013-04-17 15:36:46
Case 2881,Require upgrade,2013-04-24 14:30:41
Case 2881,Require upgrade,2013-04-24 14:30:41
Case 2881,Resolve ticket,2013-05-31 13:26:54
Case 516,Assign seriousness,2011-09-01 14:32:33
Case 516,Take in charge ticket,2011-09-05 10:32:40
Case 516,Wait,2011-09-05 12:35:10
Case 516,Resolve ticket,2011-09-15 10:43:36
Case 80,Assign seriousness,2012-08-02 09:22:58
Case 80,Take in charge ticket,2012-08-03 12:12:15
Case 80,Resolve ticket,2012-08-10 10:13:48
Case 2634,Assign seriousness,2012-08-02 14:58:56
Case 2634,Take in charge ticket,2012-08-03 07:17:57
Case 2634,Resolve ticket,2012-08-03 13:51:28
Case 1096,Assign seriousness,2012-11-21 16:09:29
Case 1096,Take in charge ticket,2012-11-27 13:09:39
Case 1096,Resolve ticket,2012-12-12 09:44:27
Case 2663,Assign seriousness,2012-01-20 09:24:58
Case 2663,Take in charge ticket,2012-01-20 09:25:10
Case 2663,Resolve ticket,2012-01-20 09:47:45
Case 2798,Assign seriousness,2010-12-22 10:35:27
Case 2798,Assign seriousness,2010-12-22 10:40:40
Case 2798,Take in charge ticket,2010-12-22 10:40:48
Case 2798,Resolve ticket,2011-01-21 09:44:30
Case 2782,Assign seriousness,2011-08-02 14:22:25
Case 2782,Take in charge ticket,2011-08-12 15:22:22
Case 2782,Take in charge ticket,2011-09-02 08:04:57
Case 2782,Resolve ticket,2011-09-12 15:27:00
Case 1791,Assign seriousness,2012-08-02 09:16:59
Case 1791,Take in charge ticket,2012-08-13 12:36:47
Case 1791,Resolve ticket,2012-08-27 15:32:19
Case 2047,Assign seriousness,2012-04-24 12:20:01
Case 2047,Take in charge ticket,2012-04-24 14:03:32
Case 2047,Resolve ticket,2012-04-24 14:05:35
Case 2017,Assign seriousness,2011-09-22 07:37:00
Case 2017,Take in charge ticket,2011-09-22 13:39:07
Case 2017,Resolve ticket,2011-09-29 10:12:55
Case 1540,Assign seriousness,2011-06-28 14:58:42
Case 1540,Assign seriousness,2011-06-28 14:59:02
Case 1540,Take in charge ticket,2011-06-29 07:49:41
Case 1540,Wait,2011-06-29 10:19:37
Case 1540,Take in charge ticket,2011-07-05 08:20:48
Case 1540,Resolve ticket,2011-07-05 08:23:41
Case 2305,Assign seriousness,2011-03-31 14:11:12
Case 2305,Take in charge ticket,2011-03-31 14:11:23
Case 2305,Resolve ticket,2011-03-31 15:50:54
Case 1775,Assign seriousness,2011-07-14 14:27:08
Case 1775,Assign seriousness,2011-07-15 07:35:24
Case 1775,Take in charge ticket,2011-07-15 09:09:20
Case 1775,Resolve ticket,2011-07-15 09:10:15
Case 2363,Assign seriousness,2011-11-18 13:23:27
Case 2363,Take in charge ticket,2011-11-18 13:39:54
Case 2363,Resolve ticket,2011-11-18 13:55:04
Case 2005,Assign seriousness,2010-04-14 15:27:29
Case 2005,Take in charge ticket,2010-05-03 14:52:34
Case 2005,Resolve ticket,2010-05-03 14:52:38
Case 1213,Assign seriousness,2011-01-04 14:22:59
Case 1213,Take in charge ticket,2011-01-20 08:29:18
Case 1213,Resolve ticket,2011-01-21 09:45:18
Case 394,Assign seriousness,2012-01-12 12:02:38
Case 394,Take in charge ticket,2012-01-13 09:45:33
Case 394,Resolve ticket,2012-01-13 10:36:45
Case 1963,Assign seriousness,2012-02-07 10:39:35
Case 1963,Take in charge ticket,2012-02-07 10:39:44
Case 1963,Resolve ticket,2012-02-08 09:04:05
Case 88,Assign seriousness,2010-09-24 07:57:49
Case 88,Assign seriousness,2010-09-24 13:43:51
Case 88,Wait,2010-09-24 13:44:52
Case 88,Take in charge ticket,2010-10-04 10:48:54
Case 88,Resolve ticket,2010-10-04 10:49:08
Case 846,Insert ticket,2010-03-08 11:52:47
Case 846,Assign seriousness,2010-03-08 11:56:49
Case 846,Take in charge ticket,2010-03-15 10:17:38
Case 846,Resolve ticket,2010-03-15 10:21:22
Case 2866,Assign seriousness,2013-02-27 08:54:54
Case 2866,Take in charge ticket,2013-02-27 08:55:12
Case 2866,Wait,2013-02-27 09:06:33
Case 2866,Resolve ticket,2013-04-08 09:50:52
Case 1275,Assign seriousness,2013-01-30 16:41:10
Case 1275,Take in charge ticket,2013-02-07 14:43:04
Case 1275,Resolve ticket,2013-02-15 09:30:27
Case 1188,Assign seriousness,2012-05-03 15:51:50
Case 1188,Take in charge ticket,2012-05-09 16:06:27
Case 1188,Resolve ticket,2012-05-10 09:19:59
Case 1731,Assign seriousness,2011-10-26 09:36:37
Case 1731,Take in charge ticket,2011-10-26 09:36:49
Case 1731,Resolve ticket,2011-10-26 10:16:02
Case 790,Assign seriousness,2012-03-22 14:36:48
Case 790,Take in charge ticket,2012-03-26 11:55:24
Case 790,Wait,2012-03-26 13:15:21
Case 790,Resolve ticket,2012-03-28 10:55:14
Case 1663,Assign seriousness,2012-12-21 08:03:25
Case 1663,Resolve ticket,2013-01-08 14:27:44
Case 2151,Assign seriousness,2011-06-29 09:41:01
Case 2151,Take in charge ticket,2011-06-29 09:47:23
Case 2151,Resolve ticket,2011-06-29 09:52:10
Case 2865,Assign seriousness,2010-02-19 10:03:38
Case 2865,Take in charge ticket,2010-02-19 10:16:18
Case 2865,Resolve ticket,2010-02-19 10:16:24
Case 1400,Assign seriousness,2010-02-02 09:57:11
Case 1400,Take in charge ticket,2010-02-02 09:57:23
Case 1400,Resolve ticket,2010-02-02 09:57:29
Case 881,Assign seriousness,2013-10-09 12:32:30
Case 881,Take in charge ticket,2013-10-14 08:51:55
Case 881,Wait,2013-10-14 09:12:00
Case 881,Resolve ticket,2013-10-25 12:20:32
Case 592,Take in charge ticket,2012-01-23 08:40:34
Case 592,Resolve ticket,2012-01-31 17:03:03
Case 2205,Assign seriousness,2010-07-09 15:23:19
Case 2205,Take in charge ticket,2010-07-14 15:56:37
Case 2205,Resolve ticket,2010-07-14 15:58:35
Case 2016,Assign seriousness,2010-11-24 17:28:54
Case 2016,Take in charge ticket,2010-11-25 08:02:44
Case 2016,Resolve ticket,2010-11-25 08:11:25
Case 1854,Assign seriousness,2012-07-13 08:48:25
Case 1854,Take in charge ticket,2012-07-17 08:16:40
Case 1854,Wait,2012-07-31 07:21:21
Case 1854,Resolve ticket,2012-08-02 09:27:23
Case 737,Assign seriousness,2011-09-28 12:08:34
Case 737,Take in charge ticket,2011-09-28 13:51:37
Case 737,Resolve ticket,2011-09-29 16:34:20
Case 1430,Assign seriousness,2011-07-15 12:20:28
Case 1430,Take in charge ticket,2011-08-10 10:18:35
Case 1430,Resolve ticket,2011-08-11 13:07:44
Case 541,Assign seriousness,2012-05-15 07:08:40
Case 541,Take in charge ticket,2012-05-15 08:01:25
Case 541,Resolve ticket,2012-05-15 08:29:12
Case 1349,Assign seriousness,2011-12-27 14:51:23
Case 1349,Take in charge ticket,2012-01-05 10:04:26
Case 1349,Wait,2012-01-10 11:11:34
Case 1349,Resolve ticket,2012-01-20 09:09:17
Case 2241,Assign seriousness,2012-06-26 13:14:17
Case 2241,Take in charge ticket,2012-06-26 13:14:26
Case 2241,Wait,2012-06-28 14:03:07
Case 2241,Resolve ticket,2012-07-10 15:38:20
Case 912,Assign seriousness,2010-12-10 16:41:58
Case 912,Assign seriousness,2010-12-13 10:42:47
Case 912,Take in charge ticket,2010-12-15 10:42:06
Case 912,Resolve ticket,2010-12-15 14:11:55
Case 49,Assign seriousness,2011-11-25 14:33:54
Case 49,Take in charge ticket,2011-11-25 14:47:48
Case 49,Wait,2011-11-29 14:47:35
Case 49,Resolve ticket,2011-12-02 16:25:57
Case 1196,Assign seriousness,2010-02-02 10:17:37
Case 1196,Take in charge ticket,2010-02-15 16:21:37
Case 1196,Resolve ticket,2010-02-15 16:22:30
Case 212,Assign seriousness,2012-05-14 12:39:34
Case 212,Take in charge ticket,2012-05-14 12:39:41
Case 212,Resolve ticket,2012-05-14 13:28:38
